datetime,close,percent_b
2021-03-12,121.03,1.04177
2021-03-11,121.96,0.955379
2021-03-10,119.98,0.908876
2021-03-09,121.09,0.887029
2021-03-08,116.36,0.877508
2021-03-05,121.42,0.845889
2021-03-04,120.13,0.836621
2021-03-03,122.06,0.66888
2021-03-02,125.12,0.696214
2021-03-01,127.79,0.637326
2021-02-26,121.26,0.520252
2021-02-25,120.99,0.759803
2021-02-24,125.35,1.01019
2021-02-23,125.86,1.01221
2021-02-22,126,0.955893
2021-02-19,129.87,0.716053
2021-02-18,129.71,0.551181
2021-02-17,130.84,0.18539
2021-02-16,133.19,-0.0662383
2021-02-12,135.37,-0.0275754
2021-02-11,135.13,0.124245
2021-02-10,135.39,0.255842
2021-02-09,136.01,0.173489
2021-02-08,136.91,0.211955
2021-02-05,136.76,0.381989
2021-02-04,137.39,0.339688
2021-02-03,133.94,0.159962
2021-02-02,134.99,0.384574
2021-02-01,134.14,0.321941
2021-01-29,131.96,0.48405
2021-01-28,137.09,0.529671
2021-01-27,142.06,0.591885
2021-01-26,143.16,0.708879
2021-01-25,142.92,0.487879
2021-01-22,139.07,0.453334
2021-01-21,136.87,0.56004
2021-01-20,132.03,0.248427
2021-01-19,127.83,0.139098
2021-01-15,127.14,0.323767
2021-01-14,128.91,0.231933
2021-01-13,130.89,0.247819
2021-01-12,128.8,-0.138803
2021-01-11,128.98,-0.00372481
2021-01-08,132.05,0.101868
2021-01-07,130.92,0.0731692
2021-01-06,126.6,0.252356
2021-01-05,131.01,0.230927
2021-01-04,129.41,0.182222
2020-12-31,132.69,0.244441
2020-12-30,133.72,0.275598
2020-12-29,134.87,0.278678
2020-12-28,136.69,0.108341
2020-12-24,131.97,-0.00883986
2020-12-23,130.96,0.017168
2020-12-22,131.88,0.0265715
2020-12-21,128.23,0.00226881
2020-12-18,126.66,0.231602
2020-12-17,128.7,0.328547
2020-12-16,127.81,0.31061
2020-12-15,127.88,0.419789
2020-12-14,121.78,0.513344
2020-12-11,122.41,0.43861
2020-12-10,123.24,0.446805
2020-12-09,121.78,0.485159
2020-12-08,124.38,0.213568
2020-12-07,123.75,0.263874
2020-12-04,122.25,0.497482
2020-12-03,122.94,0.548409
2020-12-02,123.08,0.159723
2020-12-01,122.72,-0.173632
2020-11-30,119.05,-0.174892
2020-11-27,116.59,-0.0480045
2020-11-25,116.03,0.431554
2020-11-24,115.17,0.164166
2020-11-23,113.85,0.536118
2020-11-20,117.34,0.42304
2020-11-19,118.64,0.430367
2020-11-18,118.03,0.490454
2020-11-17,119.39,0.575258
2020-11-16,120.3,0.630904
2020-11-13,119.26,0.535923
2020-11-12,119.21,0.773098
2020-11-11,119.49,0.886357
2020-11-10,115.97,0.901738
2020-11-09,116.32,0.855967
2020-11-06,118.69,0.994664
2020-11-05,119.03,0.545199
2020-11-04,114.95,0.433525
2020-11-03,110.44,0.43996
2020-11-02,108.77,0.304284
2020-10-30,108.86,0.495375
2020-10-29,115.32,0.197042
2020-10-28,111.2,0.495492
2020-10-27,116.6,0.387267
2020-10-26,115.05,0.25179
2020-10-23,115.04,0.327853
2020-10-22,115.75,0.126918
2020-10-21,116.87,-0.0761356
2020-10-20,117.51,-0.0384624
2020-10-19,115.98,0.269549
2020-10-16,119.02,0.196133
2020-10-15,120.71,0.0731789
2020-10-14,121.19,0.284459
2020-10-13,121.1,0.402633
2020-10-12,124.4,0.629505
2020-10-09,116.97,0.687497
2020-10-08,114.97,0.43171
2020-10-07,115.08,0.565205
2020-10-06,113.16,0.868347
2020-10-05,116.5,0.499506
2020-10-02,113.02,1.07547
2020-10-01,116.79,0.984619
2020-09-30,115.81,1.28958
2020-09-29,114.09,1.18321
2020-09-28,114.96,0.933696
2020-09-25,112.28,0.769893
2020-09-24,108.22,0.750956
2020-09-23,107.12,0.769802
2020-09-22,111.81,0.695613
2020-09-21,110.08,0.706967
2020-09-18,106.84,0.640062
2020-09-17,110.34,0.409282
2020-09-16,112.13,0.296184
2020-09-15,115.54,0.277426
2020-09-14,115.36,0.243356
2020-09-11,112,0.256824
2020-09-10,113.49,0.247694
2020-09-09,117.32,0.169792
2020-09-08,112.82,0.0724785
2020-09-04,120.96,0.197735
2020-09-03,120.88,0.171927
2020-09-02,131.4,0.287425
2020-09-01,134.18,0.182571
